Stats,Min,Max,Mean,Stdev
WOA,1.6832999944686884,1.9675305469089082,1.782090179083788,0.07089765489906259
Modified WOA,1.7066110834545554,2.2979444302664844,1.8488944386270307,0.12827420479421334
SA,1.5092222222222216,2.1286666666666663,1.905951592592592,0.1591791463097213

