Stats,Min,Max,Mean,Stdev
WOA,30.10999976158142,33.11100016593933,31.788077708350297,1.2779081501033587
Modified WOA,30.11,33.11100016593933,31.550461117723266,1.088518857578712
SA,30.000000000000004,33.11,31.954555555555565,1.1067514971949253

