Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Num. Cloudlets VM-8,Num. Cloudlets VM-9,Num. Cloudlets VM-10,Num. Cloudlets VM-11,Num. Cloudlets VM-12,Num. Cloudlets VM-13,Num. Cloudlets VM-14,Num. Cloudlets VM-15,Num. Cloudlets VM-16,Num. Cloudlets VM-17,Num. Cloudlets VM-18,Num. Cloudlets VM-19,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7,Processing Time VM-8,Processing Time VM-9,Processing Time VM-10,Processing Time VM-11,Processing Time VM-12,Processing Time VM-13,Processing Time VM-14,Processing Time VM-15,Processing Time VM-16,Processing Time VM-17,Processing Time VM-18,Processing Time VM-19
WOA_Broker Trial 1,14.97638180355499,49.077000093460086,0.24034285714285708,0.5522466143933409,50.0,1,2,2,2,1,4,1,2,1,4,1,2,1,6,1,3,9,0,6,1,27.201999855041507,48.263999948501585,41.24633335431417,49.17800002098084,31.201999855041507,29.138333447774254,25.26914295060294,36.20300002098084,26.153000020980837,47.17066685358684,14.286999855041502,13.412000093460081,22.363000020980834,18.27866676012675,8.151999855041504,7.512000093460083,46.81600004196167,-1.0,40.80299978256226,10.402000093460083
WOA_Broker Trial 2,11.164670691492109,49.26300002098083,0.23562380952380932,0.71436966587836,50.0,1,2,2,1,2,2,1,2,1,4,1,4,2,6,2,3,1,5,1,7,32.20199985504151,48.265000114440916,41.24633335431417,30.203000020980838,47.253000020980835,42.24633335431417,17.14485723631723,15.311999855041503,33.20300002098084,45.4796666876475,14.287000093460081,46.70399994850159,49.363000020980834,23.27866676012675,21.226000165939332,36.20300002098084,38.30299978256226,37.51300002098083,43.60399994850159,40.80300002098084
WOA_Broker Trial 3,14.099887920654833,49.41300002098083,0.27310476190476124,0.6026253935805302,50.0,1,2,1,2,2,1,1,2,1,1,3,1,2,6,1,6,3,1,12,1,32.20300002098084,41.26300002098083,29.27866676012675,47.26300002098083,25.292000093460082,22.152000093460085,8.23957135609218,23.411999855041504,38.20300002098084,13.278666760126749,27.236999855041503,37.51300002098083,36.263999948501585,21.269666687647504,2.235999927520752,39.613000020980834,48.20399994850159,49.513999948501585,46.81400018692017,6.301000165939331
WOA_Broker Trial 4,13.299063867844595,49.07800002098084,0.22932380952380949,0.6712334009676827,50.0,1,1,2,2,2,2,1,2,2,1,4,1,5,2,2,2,7,1,8,2,32.20400018692017,26.15499987602234,38.169666687647506,19.238000020980834,29.251999855041504,43.188333209355676,10.255857163837977,48.20500011444092,46.51300002098083,18.279666687647502,49.181000041961674,15.31100016593933,47.20399994850159,2.245333426793416,45.30399994850159,40.80499987602234,34.613000020980834,35.60399994850159,37.515000114440916,39.613000020980834
WOA_Broker Trial 5,12.154148124935453,49.075999927520755,0.20898095238095243,0.7106704288003257,50.0,1,2,3,3,1,1,4,1,2,2,2,4,1,8,1,5,1,4,2,2,36.20300002098084,47.20299978256226,48.2473335202535,49.17800002098084,23.253000020980835,18.138333209355675,38.13157144955227,42.30399994850159,40.45300002098084,45.4796666876475,43.22900018692017,35.60399994850159,39.30300002098084,34.34833320935567,21.226999855041505,6.301000165939331,37.513999948501585,33.30300002098084,11.413000020980833,46.70400018692017
WOA_Broker Trial 6,11.726472218565377,49.264000186920164,0.251390476190476,0.7052856599973959,50.0,1,2,3,3,2,1,1,5,2,2,1,3,1,3,1,7,2,5,1,4,26.203000020980838,47.20400018692017,41.24633335431417,36.2369998550415,25.292000093460082,31.295333426793416,17.14485723631723,48.206999969482425,49.36600004196167,28.20399994850159,14.288000020980833,34.614000186920165,35.353000020980836,30.34633335431417,8.152000093460083,46.013999948501585,46.81399994850159,43.60400018692017,44.51499987602234,40.80399994850159
WOA_Broker Trial 7,14.360347746977624,49.41200009346008,0.24503333333333302,0.6039212071467085,50.0,1,2,3,2,2,2,2,2,1,2,1,2,1,4,1,11,2,4,1,4,26.202000093460086,41.26300002098083,47.17066661516826,38.26300002098083,34.293000020980834,25.27866652170817,43.284428592409405,21.601999855041505,24.201999855041507,13.278666760126749,14.286999855041502,11.412000093460081,7.251999855041504,45.4796666876475,5.126999855041504,46.70300002098084,49.51300002098083,48.20300002098084,31.603000020980836,22.402000093460085
WOA_Broker Trial 8,13.21198395496605,49.103000020980836,0.21704475900559178,0.7063475411497796,50.0,1,2,3,2,2,2,2,2,3,2,2,4,1,3,4,1,4,2,7,1,26.203000020980838,41.26300002098083,48.2473335202535,32.238999948501586,37.16300002098084,33.24633335431417,46.234999876022336,46.01499987602234,43.35399994850159,44.20399994850159,42.26200009346008,39.613999948501586,1.2000000000000002,49.20399994850159,34.20300002098084,21.603000020980836,27.203000020980838,47.30300002098084,28.403000020980837,4.510999927520752
WOA_Broker Trial 9,12.561731506016072,49.41399994850158,0.19173333333333345,0.6683027955131682,50.0,2,1,2,1,2,2,3,1,1,1,8,1,4,5,2,6,1,1,5,1,47.306000041961674,27.152000093460085,48.249333375295,12.127000093460083,42.253000020980835,34.17066661516826,32.22728573526655,36.20300002098084,23.201999855041507,11.278666760126749,46.363000020980834,49.51499987602234,43.353000020980836,40.33633335431417,45.30399994850159,35.603000020980836,16.412000093460083,30.612000093460082,28.402000093460085,10.400999927520752
WOA_Broker Trial 10,13.032511040819092,49.07799978256226,0.23229047619047616,0.6393175421878663,50.0,1,1,2,1,2,2,1,2,2,1,6,3,1,3,2,10,1,5,3,1,36.20500011444092,27.153000020980837,41.24633335431417,28.288000020980835,44.16500011444092,38.24833344777425,22.148857184818816,48.20500011444092,26.15399994850159,5.245333188374837,49.17899994850159,47.30499987602234,19.15399994850159,8.277666594187417,31.228000020980836,42.30399994850159,43.60399994850159,35.603000020980836,16.412000093460083,17.403000020980837
