Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Num. Cloudlets VM-8,Num. Cloudlets VM-9,Num. Cloudlets VM-10,Num. Cloudlets VM-11,Num. Cloudlets VM-12,Num. Cloudlets VM-13,Num. Cloudlets VM-14,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7,Processing Time VM-8,Processing Time VM-9,Processing Time VM-10,Processing Time VM-11,Processing Time VM-12,Processing Time VM-13,Processing Time VM-14
SA_Broker Trial 19,13.483331050679658,43.11,2.400308333333333,0.6971854944715069,0.0,4,3,3,3,0,2,6,3,4,0,2,3,3,3,1,42.21,38.71,32.785,22.35,-1.0,26.21,37.21,32.1,38.21,-1.0,37.21,42.21,30.21,43.21,30.21
SA_Broker Trial 20,15.064905742162708,43.11,2.214858333333333,0.6129348694553983,0.0,1,0,3,3,3,6,2,4,1,3,3,1,8,1,1,7.21,-1.0,38.54333333333334,39.96,23.21,33.21,33.21,42.150999999999996,27.71,35.1,28.21,3.21,43.21,3.21,39.21
SA_Broker Trial 21,12.681304517550775,42.11,2.4910808333333327,0.659842238581493,0.0,6,4,3,2,1,4,2,1,2,2,2,2,2,2,5,33.210025,40.710025,22.87669166666667,26.350025000000002,3.210025,39.210025,37.210025,5.210025000000001,29.209,17.543358333333334,42.210025,39.210025,30.210025,11.210025,39.210025
SA_Broker Trial 22,12.653628310966731,43.11,2.426916666666666,0.6860073713240031,0.0,1,4,1,1,6,5,1,4,0,3,3,3,2,4,2,10.209999999999999,40.71,17.543333333333333,37.71,43.21,39.21,16.21,30.21,-1.0,31.543333333333333,37.21,38.21,26.21,37.21,39.21
SA_Broker Trial 23,9.905048394818861,43.11,2.500433333333333,0.6845279517513337,0.0,3,4,2,1,7,2,4,1,1,3,1,2,3,3,3,21.32,22.6,31.543333333333333,28.71,30.21,33.21,43.21,25.21,33.71,37.876666666666665,6.21,16.21,42.21,42.21,28.21
SA_Broker Trial 24,11.860154614485689,44.289,2.5531916666666663,0.6263742439181035,0.0,5,2,3,3,1,2,4,5,1,0,4,2,3,2,3,44.389,9.1,31.543333333333333,30.21,30.21,23.71,24.21,42.21,22.6,-1.0,27.1,21.21,38.21,30.21,42.21
SA_Broker Trial 25,13.149229323518131,42.11,2.092766666666666,0.6520963613815669,0.0,0,3,3,3,2,4,2,7,1,3,3,3,4,0,2,-1.0,39.21,28.21,37.71,32.21,38.71,23.21,42.21,33.71,32.876666666666665,19.21,30.21,38.21,-1.0,18.21
SA_Broker Trial 26,8.031454879379337,42.11,2.288491666666666,0.7661590015567692,0.0,2,1,5,3,2,3,3,3,2,2,2,2,4,2,4,15.209999999999999,24.21,28.337666666666667,32.71,37.21,38.71,39.21,38.21,29.21,37.876666666666665,26.21,42.21,33.21,19.21,42.21
SA_Broker Trial 27,11.220410216747815,43.11,2.154302083333333,0.7398644294956055,0.0,3,3,2,5,2,4,2,0,2,3,4,2,1,4,3,39.21,35.71,28.21,31.43,23.21,33.65,34.21,-1.0,31.21,17.543333333333333,43.21,38.21,42.21,42.21,39.21
SA_Broker Trial 28,13.676925464914968,43.11,2.4324166666666662,0.632500837650455,0.0,1,2,2,4,6,2,0,4,3,2,6,3,4,1,0,24.21,29.21,22.87666666666667,38.32,42.1,15.1,-1.0,37.21,26.6,38.54,43.21,21.21,34.21,38.21,-1.0
SA_Broker Trial 29,14.748939396896757,40.11,1.9495166666666663,0.6352530541012218,0.0,1,3,4,3,2,6,3,5,5,1,0,1,2,4,0,5.21,38.71,40.21,31.96,34.21,39.21,26.21,37.21,38.21,26.54,-1.0,10.209999999999999,18.1,38.21,-1.0
SA_Broker Trial 30,15.471370347599873,43.11,2.1725916666666665,0.5824232583314004,0.0,0,7,2,4,3,1,0,3,3,3,5,3,3,0,3,-1.0,39.21,38.54333333333334,12.85,39.21,31.21,-1.0,19.21,40.71,23.87666666666667,37.174,43.21,24.21,-1.0,30.21

