Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4
SA_Broker Trial 1,4.133155438408341,10.11,1.097,0.5805921529838444,0.0,0,2,2,2,4,-1.0,9.434733333333334,3.6014,10.2114,7.1014
SA_Broker Trial 2,3.825620075438751,9.5,0.8879999999999999,0.5920084210526315,0.0,2,2,2,0,4,4.1001,8.820099999999998,6.600099999999999,-1.0,9.6001
SA_Broker Trial 3,4.013923450213989,9.61,1.15598,0.5805924384321887,0.0,2,3,0,1,4,9.710199999999999,6.766866666666667,-1.0,3.2102,9.210199999999999
SA_Broker Trial 4,1.5075728838102653,9.5,1.1686666666666665,0.8355894736842104,0.0,2,2,1,2,3,9.6001,8.820099999999998,5.350099999999999,7.2101,8.710099999999999
SA_Broker Trial 5,1.9824770140183499,9.25,0.9716666666666669,0.664836036036036,0.0,1,1,4,1,3,5.7104,6.767066666666667,9.3504,3.2104,5.7104
SA_Broker Trial 6,1.3626503257989548,9.329999999999998,1.03776,0.8811318327974277,0.0,2,4,1,1,2,9.210199999999999,5.654000000000001,9.430199999999997,8.100200000000001,8.7102
SA_Broker Trial 7,2.1538393280011494,9.443333333333333,1.4371033333333332,0.786780091775503,0.0,1,1,3,3,2,9.2107,9.544033333333333,5.3507,4.333,8.7107
SA_Broker Trial 8,1.6310837923295047,10.11,1.1341899999999998,0.8134995054401581,0.0,2,1,4,2,1,7.100099999999999,9.501999999999999,8.6001,10.210099999999999,5.7101
SA_Broker Trial 9,2.9214405883247236,9.5,0.9796666666666669,0.6976245614035086,0.0,1,5,1,2,1,1.6001,8.876766666666665,7.850099999999999,5.2101,9.6001
SA_Broker Trial 10,1.8983997939785429,9.443333333333333,1.3873333333333335,0.8069996470172962,0.0,2,1,1,3,3,9.210099999999999,9.543433333333333,5.430100000000001,5.210100000000001,8.710099999999999
SA_Broker Trial 11,1.8587850273169775,9.61,0.8716666666666667,0.7208567464446756,0.0,1,2,2,1,4,4.1001,6.876766666666667,7.850099999999999,6.100099999999999,9.710099999999999
SA_Broker Trial 12,1.9403918229745936,10.11,1.2647333333333333,0.7816155621496867,0.0,1,2,2,3,2,8.709999999999999,5.543333333333333,9.394,10.209999999999999,5.653333333333333
SA_Broker Trial 13,4.011152009640677,9.329999999999998,1.0086666666666662,0.6372275812790282,0.0,0,2,4,2,2,-1.0,3.8766666666666665,9.429999999999998,8.209999999999999,9.209999999999999
SA_Broker Trial 14,3.85131741636547,9.5,1.3353333333333333,0.6890610526315788,0.0,0,2,2,3,3,-1.0,8.210099999999999,8.710099999999999,7.2101,9.6001
SA_Broker Trial 15,2.6616063654200337,10.0,1.0883333333333334,0.7432766666666666,0.0,1,2,2,2,3,7.2101,2.433433333333334,8.710099999999999,10.1001,8.710099999999999
SA_Broker Trial 16,2.3488133325386054,9.25,1.3077999999999999,0.6960612612612611,0.0,2,4,2,1,1,3.2124333333333333,8.210099999999999,9.3501,7.2101,4.210100000000001
SA_Broker Trial 17,3.6684822549568548,9.25,1.0183333333333333,0.6109636036036037,0.0,1,4,3,0,2,5.653433333333333,5.543433333333333,9.3501,-1.0,8.710099999999999
SA_Broker Trial 18,3.96998886668464,9.329999999999998,0.9769999999999998,0.6741779206859594,0.0,2,0,4,1,3,9.210099999999999,-1.0,9.430099999999998,5.1001,8.710099999999999
SA_Broker Trial 19,3.566081322684607,10.109999999999998,0.8496666666666666,0.6302967359050446,0.0,1,4,3,1,1,1.6003,8.1003,9.350299999999999,10.210299999999998,2.6003000000000003
SA_Broker Trial 20,2.13559838088636,9.61,0.8106666666666665,0.7410336455081512,0.0,2,1,4,1,2,9.709999999999999,3.8766666666666665,6.71,6.1,9.209999999999999
SA_Broker Trial 21,2.4217655634772832,10.11,1.0856666666666666,0.7121101219914275,0.0,1,1,2,2,4,5.600099999999999,3.8767666666666667,6.600099999999999,10.210099999999999,9.710099999999999
SA_Broker Trial 22,4.478460208777119,10.11,1.438,0.5485736894164194,0.0,3,0,1,3,3,9.710099999999999,-1.0,1.6001,10.210099999999999,7.2101
SA_Broker Trial 23,4.069353246106806,10.11,1.263,0.622757665677547,0.0,2,2,1,5,0,9.210099999999999,8.210099999999999,4.850099999999999,10.210099999999999,-1.0
SA_Broker Trial 24,1.3612993792696737,9.61,0.9549999999999998,0.8312278876170656,0.0,3,1,3,2,1,9.710099999999999,8.1001,6.7101,6.2101,9.210099999999999
SA_Broker Trial 25,2.895709930224365,10.11,1.0799999999999998,0.7242433234421364,0.0,2,3,2,2,1,9.6001,8.1001,6.600099999999999,10.210099999999999,2.1001000000000003
SA_Broker Trial 26,4.07538852155227,9.329999999999998,0.9309900000000001,0.6205873526259378,0.0,0,3,3,1,3,-1.0,8.1001,9.430099999999998,3.2101,9.210099999999999
SA_Broker Trial 27,4.036611678326266,10.11,1.2603333333333333,0.6178120672601385,0.0,1,3,0,3,3,9.6001,5.2101,-1.0,10.210099999999999,7.2101
SA_Broker Trial 28,1.6263997048696237,10.0,1.091,0.80381,0.0,1,2,2,2,3,8.710099999999999,8.820099999999998,5.350099999999999,10.1001,7.2101
SA_Broker Trial 29,2.477845134825374,9.443333333333332,1.05597,0.7955778326861985,0.0,2,3,1,2,2,9.210299999999998,9.543633333333332,7.890000000000001,8.2103,2.7103
SA_Broker Trial 30,3.878353584453646,9.61,0.8966666666666667,0.674860908775581,0.0,3,2,1,0,4,9.1001,6.766766666666666,7.850099999999999,-1.0,9.710099999999999

