Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4
WOA_Broker Trial 1,1.1148818983524917,9.428333466847738,1.086699998855591,0.8785716720198,50.0,2,3,2,1,2,9.211999855041503,9.547333520253499,6.726000032424927,7.214999876022339,8.717000207901
WOA_Broker Trial 2,1.734763615205333,9.251999855041504,0.9513000507354736,0.8140582364618256,50.0,1,3,3,1,2,5.65733328183492,8.826000041961668,9.35600004196167,5.213000020980835,8.60600004196167
WOA_Broker Trial 3,2.8459055614280904,10.107999906539916,0.9993333333333334,0.7283208095694425,50.0,1,2,2,2,3,2.103000020980835,9.434333499272665,7.960999927520752,10.210999927520751,7.1
WOA_Broker Trial 4,2.3050506655020557,10.110999927520751,1.1742833312352496,0.750618146305254,50.0,2,2,2,2,2,6.7125,8.212000093460082,3.600999927520752,10.210999927520751,9.21100016593933
WOA_Broker Trial 5,1.1401755579940465,9.61100016593933,1.0545666500727335,0.8543127507997326,50.0,2,3,2,1,2,9.71100016593933,8.209999999999999,6.710999927520752,7.210999927520752,9.210999927520751
WOA_Broker Trial 6,2.89115931415979,10.109000072479247,0.9966666666666667,0.726560484423757,50.0,1,2,2,2,3,2.1,8.100999927520752,6.71,10.212000093460082,9.600999927520752
WOA_Broker Trial 7,1.8659688722359042,9.25,1.0296666428248087,0.8282162186906146,50.0,1,3,3,1,2,4.211000165939331,8.82099992752075,9.35100016593933,7.210999927520752,8.710999927520751
WOA_Broker Trial 8,1.5401819393773362,9.5,1.1107333478291832,0.8082526339882298,50.0,2,3,2,1,2,6.767,8.102000093460083,8.710999927520751,5.211000165939331,9.600999927520752
WOA_Broker Trial 9,1.6590967635246734,10.112000093460082,1.1547666594187416,0.8170094887981186,50.0,1,3,2,2,2,5.655333426793416,8.878666521708169,9.46100016593933,10.212000093460082,7.100999927520752
WOA_Broker Trial 10,1.1185546616832243,9.443333333333333,1.0519999999999998,0.8765195909844158,50.0,2,2,2,1,3,9.209999999999999,9.544333260854085,6.711000165939331,7.21,8.710999927520751
WOA_Broker Trial 11,1.0217180327272732,9.503000020980835,1.0353333333333332,0.8652776290724582,50.0,2,3,2,1,2,9.603999948501587,6.877666832605998,8.710999927520751,7.21,8.710999927520751
WOA_Broker Trial 12,2.515076947746276,9.502000093460083,0.9467666832605997,0.73851820882361,50.0,3,2,2,1,2,9.603000020980835,8.82100016593933,4.851000165939331,3.210999927520752,8.60100016593933
WOA_Broker Trial 13,1.8655956609881532,9.5,1.0102333167394002,0.7970456144767895,50.0,1,3,2,1,3,4.21,8.877666832605996,7.960999927520752,7.210999927520752,9.6
WOA_Broker Trial 14,1.545914249221482,9.442333405812581,0.9604333260854085,0.8242948364936524,50.0,2,3,2,1,2,9.100999927520752,9.543333333333333,7.961000165939331,5.210999927520752,7.1
WOA_Broker Trial 15,2.058542392756889,10.000000238418579,1.0935666739145913,0.7710799853544238,50.0,1,3,2,2,2,4.210999927520752,8.819999999999999,6.712000093460083,10.10100016593933,8.709999999999999
WOA_Broker Trial 16,2.367513186448819,10.110999927520751,1.0103333333333335,0.7356938045216795,50.0,1,2,2,2,3,4.21,5.21,7.960999927520752,10.210999927520751,9.60100016593933
WOA_Broker Trial 17,3.0414603929875863,9.333333094914755,1.063000023841858,0.7161071687112665,50.0,2,4,1,1,2,7.211000165939331,9.434333260854086,0.851000165939331,7.211000165939331,8.710999927520751
WOA_Broker Trial 18,1.6907724608654284,10.110000238418579,1.0475666884104409,0.8058753541792806,50.0,2,2,2,2,2,8.600999927520752,9.501999999999999,6.710999927520752,10.21100016593933,5.712000093460083
WOA_Broker Trial 19,1.866519811844854,9.250999689102173,1.029766635576884,0.8281267141570925,50.0,1,3,3,1,2,4.21,8.82099992752075,9.351999855041504,7.211000165939331,8.710999927520751
WOA_Broker Trial 20,1.3492148018927148,9.443333571751912,1.1769999999999998,0.8583480166493137,50.0,2,2,2,2,2,5.710999927520752,9.544333499272664,7.850999927520752,8.210999927520751,9.210999927520751
WOA_Broker Trial 21,1.1179706375738734,9.443333333333333,1.077,0.8766043107921144,50.0,2,3,2,1,2,9.21100016593933,9.544333260854085,6.713000020980835,7.211000165939331,8.710999927520751
WOA_Broker Trial 22,1.5880643673892088,10.11,0.9909000072479248,0.7863831165714936,50.0,2,2,2,2,2,5.710999927520752,6.877666594187419,7.851000165939331,10.210999927520751,9.100999927520752
WOA_Broker Trial 23,2.0088311594031256,9.647500072479248,1.0687166811625164,0.7493996700079235,50.0,3,1,3,1,2,9.7485,3.8766666666666665,6.600999927520752,7.212000093460083,8.71100016593933
WOA_Broker Trial 24,1.020247528485497,9.499000072479248,1.0602333167394002,0.8655367135075464,50.0,2,3,2,1,2,8.709999999999999,6.877666594187419,8.709999999999999,7.210999927520752,9.6
WOA_Broker Trial 25,2.806736400586914,10.11100016593933,0.9993333333333334,0.7302805413783737,50.0,1,2,3,2,2,2.21,9.435333188374837,7.960999927520752,10.212000093460082,7.101000165939331
WOA_Broker Trial 26,1.546119096995668,9.443333094914754,0.9214333499272664,0.8242075750832226,50.0,2,2,3,1,2,9.10100016593933,9.544333260854085,7.96,5.210999927520752,7.1
