Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7
SA_Broker Trial 1,6.088090048405987,21.110000000000003,1.5861999999999998,0.7016721932733301,0.0,3,3,3,3,1,2,3,2,20.66805,17.710050000000003,13.820049999999998,7.96005,3.21005,13.710049999999999,21.210050000000003,20.210050000000003
SA_Broker Trial 2,7.3743730400878835,22.974999999999998,2.1473999999999998,0.5649347116430904,0.0,5,1,1,3,2,5,0,3,23.075,13.6,6.82,8.709999999999999,18.21,20.21,-1.0,14.209999999999999
SA_Broker Trial 3,7.19092026474493,21.110000000000003,1.5048999999999995,0.6015278106742459,0.0,3,3,3,1,0,7,1,2,17.21005,10.212383333333332,9.543383333333333,6.6000499999999995,-1.0,17.710050000000003,21.210050000000003,20.100050000000003
SA_Broker Trial 4,2.360657276645169,20.110000000000003,1.340833333333333,0.8181742085198076,0.0,1,4,1,2,2,3,4,3,16.21015,19.600150000000003,12.876816666666665,16.21015,15.210149999999999,20.210150000000002,17.210150000000002,14.10015
SA_Broker Trial 5,7.469552665046177,21.000000000000004,1.4964999999999997,0.5945854166666666,0.0,3,1,0,3,1,4,6,2,18.100050000000003,9.10005,-1.0,18.960050000000003,3.21005,13.710049999999999,21.100050000000003,16.710050000000003
SA_Broker Trial 6,5.495622753104916,21.110000000000003,1.4199999999999997,0.6846699826306646,0.0,2,1,3,2,2,4,4,2,15.210049999999999,17.21005,19.76671666666667,3.71005,8.210049999999999,16.600050000000003,21.210050000000003,13.710049999999999
SA_Broker Trial 7,6.557042964910036,26.771949999999997,2.9402566666666656,0.5432412313385216,0.0,6,3,2,2,2,2,1,2,26.871999999999996,10.210049999999999,6.7667166666666665,19.600050000000003,17.100050000000003,5.6000499999999995,15.10005,15.10005
SA_Broker Trial 8,5.136539295819707,19.720000000000002,1.3844974999999997,0.7357403651115618,0.0,1,2,5,3,1,1,4,3,3.21005,14.10005,19.820050000000002,16.21005,10.210049999999999,16.710050000000003,16.21005,19.600050000000003
SA_Broker Trial 9,4.861760869273602,21.11,1.412833333333333,0.6938702036949314,0.0,4,1,3,2,3,2,1,4,21.2101,19.7101,16.4601,16.4601,6.2101,13.710099999999999,8.210099999999999,15.210099999999999
SA_Broker Trial 10,5.457473660037216,20.110000000000003,1.4156749999999998,0.7323595226255594,0.0,1,3,1,2,3,3,2,5,10.210249999999998,17.710250000000002,8.210249999999998,5.46025,19.21025,19.710250000000002,17.100250000000003,20.210250000000002
SA_Broker Trial 11,5.64411862029848,19.720000000000002,1.5963333333333332,0.7350431034482757,0.0,2,3,2,1,6,2,1,3,10.210049999999999,16.600050000000003,19.820050000000002,1.6000500000000002,15.210049999999999,19.600050000000003,15.210049999999999,17.710050000000003
SA_Broker Trial 12,5.433889996367384,21.11,1.6075416666666662,0.6807249723669667,0.0,3,2,2,1,3,6,1,2,21.21,15.767499999999997,10.543333333333333,3.71,16.21,19.6,10.209999999999999,17.71
SA_Broker Trial 13,5.9342446402154865,20.110000000000003,1.5803174999999994,0.7328827904856621,0.0,1,4,3,1,4,1,2,4,16.21005,15.767549999999996,8.988333333333332,1.6000500000000002,18.210050000000003,20.210050000000003,17.21005,19.710050000000003
SA_Broker Trial 14,8.198878886889048,21.11,1.6184999999999996,0.5352948839412601,0.0,2,3,0,3,0,3,6,3,6.2101,14.1001,-1.0,18.9601,-1.0,15.210099999999999,21.2101,16.7101
SA_Broker Trial 15,6.460907289312683,21.11,1.5551299999999995,0.7067781856939839,0.0,3,4,2,5,2,1,3,0,18.1001,16.7101,13.210099999999999,16.210099999999997,15.210099999999999,19.7101,21.2101,-1.0
SA_Broker Trial 16,8.214212446188077,21.11,1.659991666666666,0.586767724617085,0.0,3,4,3,0,1,0,4,5,21.21,19.71,16.543333333333333,-1.0,11.209999999999999,-1.0,17.21,15.209999999999999
SA_Broker Trial 17,7.438270316489123,21.110000000000003,1.9635141666666662,0.6084831438496762,0.0,4,2,4,2,3,1,4,0,19.167,17.21005,17.543383333333335,6.71005,16.21005,5.71005,21.210050000000003,-1.0
SA_Broker Trial 18,7.0872781049920714,20.11,1.5544999999999998,0.5903157633018399,0.0,1,2,3,0,8,1,1,4,5.21,8.709999999999999,19.21,-1.0,18.21,9.209999999999999,15.209999999999999,20.21
SA_Broker Trial 19,6.462380512895759,21.11,1.5521333333333325,0.6992185772935418,0.0,2,4,3,0,1,4,2,4,17.210099999999997,14.210099999999999,17.543433333333333,-1.0,15.210099999999999,13.6001,21.2101,20.1001
SA_Broker Trial 20,5.5792501930107905,19.74115,1.6104299999999996,0.7278308887780093,0.0,3,2,4,2,2,1,3,3,18.401,14.100349999999999,19.8415,2.35035,15.210349999999998,19.6215,16.21035,9.210349999999998
SA_Broker Trial 21,6.607891483757213,20.22,1.8021333333333331,0.7227579953841082,0.0,3,3,3,3,5,0,2,1,20.32,20.21,16.543333333333333,14.709999999999999,11.209999999999999,-1.0,15.209999999999999,19.71
SA_Broker Trial 22,5.126257840222676,21.000000000000004,1.6518474999999995,0.7062722222222221,0.0,2,3,2,3,4,1,2,3,17.32005,9.60005,5.543383333333333,18.960050000000003,21.100050000000003,10.710049999999999,18.210050000000003,17.21005
