Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7
WOA_Broker Trial 14,4.703271068472894,21.11,1.3951666515986123,0.7348709135245284,50.0,1,1,3,3,2,3,3,4,10.209999999999999,7.1019998550415036,13.10100016593933,16.46,21.21,17.710999927520753,21.1,17.210999927520753
WOA_Broker Trial 15,2.923524905705578,19.60999976158142,1.303233328660329,0.8231557113000783,50.0,1,2,3,3,2,2,2,5,10.210999927520751,15.100999927520752,13.878666760126748,19.600999927520753,17.210999927520753,17.210999927520753,16.212000093460084,19.710999927520753
WOA_Broker Trial 16,3.3800167943218518,21.109000072479247,1.415733328660329,0.7768428144243045,50.0,3,3,2,3,1,3,2,3,21.211000165939332,17.710999927520753,14.82,19.600999927520753,15.210999927520751,9.210999927520751,16.211000165939332,17.211000165939332
WOA_Broker Trial 17,4.007928518024105,20.000999927520752,1.2921833203633617,0.7738894321050853,50.0,1,2,3,3,2,3,2,4,10.209999999999999,20.101999855041505,14.432499999999996,18.961000165939332,18.210999927520753,16.600999927520753,8.100999927520752,17.21
WOA_Broker Trial 18,5.254505544007944,21.11,1.4004666573206581,0.7003473860946817,50.0,1,3,2,3,2,2,4,3,5.21,20.10399994850159,14.877666594187417,12.85,18.211000165939332,8.600999927520752,21.210999927520753,17.21
WOA_Broker Trial 19,3.0250621183736937,21.11,1.5310666739145913,0.8128473851120945,50.0,3,2,3,2,2,3,2,3,21.210999927520753,16.6,14.877666594187417,12.850999927520752,21.210999927520753,17.601000165939332,19.210999927520753,13.710999927520751
WOA_Broker Trial 20,2.0793262882709294,19.666666666666668,1.3166166588465371,0.8548580503261696,50.0,2,2,3,3,2,2,3,3,17.210999927520753,14.21100016593933,19.76766659418742,18.961000165939332,18.21499987602234,17.210999927520753,15.209999999999999,13.710999927520751
WOA_Broker Trial 21,3.6057437925819102,21.11,1.389999988079071,0.7636783514357133,50.0,1,2,2,4,2,3,3,3,10.21100016593933,17.600999927520753,13.103999948501587,19.710999927520753,19.210999927520753,14.21100016593933,21.21,13.710999927520751
WOA_Broker Trial 22,2.4435541338811766,21.11099992752075,1.3850166536966957,0.8060588488531503,50.0,2,2,2,3,2,3,3,3,21.210999927520753,17.711000165939332,14.877666594187417,16.210999927520753,15.209999999999999,20.1,17.210999927520753,13.601999855041504
WOA_Broker Trial 23,4.918027275771004,20.109000072479247,1.2419666692415872,0.7087643150570025,50.0,1,1,3,4,1,3,3,4,6.21,8.605000114440918,17.543333333333333,16.43,10.210999927520751,20.21,15.209999999999999,19.600999927520753
WOA_Broker Trial 24,5.636245172851941,19.72099992752075,1.447649987030029,0.7357322163089149,50.0,1,1,3,2,3,3,4,3,3.21,8.60100016593933,19.820999927520752,13.709999999999999,18.100999927520753,19.710999927520753,19.210999927520753,13.709999999999999
WOA_Broker Trial 25,3.264708651320931,21.11100016593933,1.3003000025749205,0.7570342412932095,50.0,1,2,2,4,2,3,2,4,10.209999999999999,14.209999999999999,16.46,17.350999927520753,21.211000165939332,19.600999927520753,15.210999927520751,13.6
WOA_Broker Trial 26,3.4301029196911856,21.109000072479247,1.3538750108718869,0.7607122529483515,50.0,1,2,2,3,2,3,4,3,10.209999999999999,17.710999927520753,13.1,16.21,16.21,20.101000165939332,21.21,13.710999927520751
WOA_Broker Trial 27,3.153386224318895,20.11099992752075,1.2406166692415872,0.763943448733509,50.0,1,2,3,3,1,3,2,5,10.210999927520751,17.601000165939332,16.543333333333333,16.210999927520753,15.209999999999999,10.710999927520751,16.210999927520753,20.210999927520753
WOA_Broker Trial 28,3.8856036194818824,19.607999906539916,1.2837833250363666,0.8122471297758487,50.0,1,2,3,3,1,4,2,4,10.210999927520751,16.601999855041505,17.544333499272664,19.710999927520753,15.210999927520751,9.21100016593933,19.210999927520753,19.710999927520753
WOA_Broker Trial 29,3.2191206047386727,20.11100016593933,1.2795499834060666,0.8022972420999909,50.0,1,2,2,3,2,3,3,4,10.210999927520751,14.209999999999999,13.100999927520752,16.210999927520753,18.210999927520753,20.212000093460084,17.210999927520753,19.713000020980836
WOA_Broker Trial 30,2.4620084313196284,20.11,1.4199833203633623,0.8401417207978721,50.0,3,3,2,3,2,3,2,2,17.100999927520753,17.712000093460084,13.10100016593933,18.893,15.210999927520751,20.210999927520753,19.223,13.709999999999999

